response_size,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
small,aegean,Aegean,42.570,51.645,5647.525
small,aegean_eo,Aegean+EO,42.695,54.930,5860.838
small,pbeo,PBEO,4.855,19.335,6294.090
small,unreplicated,Unreplicated,0.504,0.675,6227.372
medium,aegean,Aegean,283.250,307.790,3900.948
medium,aegean_eo,Aegean+EO,49.740,63.200,3620.081
medium,pbeo,PBEO,3.915,5.280,3699.768
medium,unreplicated,Unreplicated,0.588,0.988,5517.257
large,aegean,Aegean,70.005,101.545,646.351
large,aegean_eo,Aegean+EO,74.850,102.520,362.038
large,pbeo,PBEO,8.350,9.990,456.495
large,unreplicated,Unreplicated,2.070,2.945,1247.455
