write_size,variant,label,stable_median_ms,stable_p90_ms,max_stable_throughput
xsmall,aegean,Aegean,44.185,56.840,5357.150
xsmall,aegean_eo,Aegean+EO,44.920,57.765,5356.227
xsmall,pbeo,PBEO,3.030,5.330,5495.095
xsmall,unreplicated,Unreplicated,0.455,0.635,6994.537
small,aegean,Aegean,44.055,57.140,5503.999
small,aegean_eo,Aegean+EO,44.280,60.855,5502.533
small,pbeo,PBEO,4.090,12.220,5794.519
small,unreplicated,Unreplicated,0.436,0.580,6806.980
medium,aegean,Aegean,44.525,56.045,5213.778
medium,aegean_eo,Aegean+EO,44.920,57.430,5209.511
medium,pbeo,PBEO,3.870,5.090,3932.733
medium,unreplicated,Unreplicated,0.466,0.634,7793.681
large,aegean,Aegean,41.785,68.825,2132.700
large,aegean_eo,Aegean+EO,49.805,79.370,2471.423
large,pbeo,PBEO,8.100,10.270,565.598
large,unreplicated,Unreplicated,0.604,2.360,8113.083
